//recoil spectrum for detector SILICON_high
//WIMP sim. pars: Mx = 50 GeV, spin = 0.5
//           C1p = 0, C2p = 0, C3p = 0, C4p = 0, C5p = 0, C6p = 10, C7p = 0, C8p = 0, C9p = 0, C10p = 0, C11p = 0, C12p = 0, C13p = 0, C14p = 0, C15p = 0, 
//           C1n = 0, C2n = 0, C3n = 0, C4n = 0, C5n = 0, C6n = 0, C7n = 0, C8n = 0, C9n = 0, C10n = 0, C11n = 0, C12n = 0, C13n = 0, C14n = 0, C15n = 0, 
//Astrophysical parameters: rho = 0.3 GeV/cm^3, v0 = 220 km/s, vesc = 544 km/s
//Er(keV)         WIMP-rate         Bg-rate           total-rate (/keV/t/year)
8.50000000e+01    8.19210000e-08    6.62709897e-05    6.63529107e-05
8.57500000e+01    7.90952047e-08    6.58927577e-05    6.59718529e-05
8.65000000e+01    7.63297260e-08    6.55192879e-05    6.55956176e-05
8.72500000e+01    7.36246901e-08    6.51530479e-05    6.52266726e-05
8.80000000e+01    7.09801479e-08    6.47870986e-05    6.48580787e-05
8.87500000e+01    6.83960787e-08    6.44248186e-05    6.44932147e-05
8.95000000e+01    6.58723940e-08    6.40636609e-05    6.41295333e-05
9.02500000e+01    6.34089410e-08    6.37055766e-05    6.37689855e-05
9.10000000e+01    6.10055062e-08    6.33515764e-05    6.34125819e-05
9.17500000e+01    5.86618185e-08    6.30010723e-05    6.30597342e-05
9.25000000e+01    5.63775529e-08    6.26567629e-05    6.27131405e-05
9.32500000e+01    5.41523332e-08    6.23087938e-05    6.23629461e-05
9.40000000e+01    5.19857356e-08    6.19624573e-05    6.20144430e-05
9.47500000e+01    4.98772910e-08    6.16224636e-05    6.16723409e-05
9.55000000e+01    4.78264885e-08    6.12882694e-05    6.13360958e-05
9.62500000e+01    4.58327776e-08    6.09550139e-05    6.10008467e-05
9.70000000e+01    4.38955712e-08    6.06210512e-05    6.06649468e-05
9.77500000e+01    4.20142481e-08    6.02939599e-05    6.03359742e-05
9.85000000e+01    4.01881552e-08    5.99684395e-05    6.00086276e-05
9.92500000e+01    3.84166100e-08    5.96448415e-05    5.96832581e-05
