//recoil spectrum for detector XENON_high
//WIMP sim. pars: Mx = 100 GeV, spin = 0.5
//           C1p = 0.0001, C2p = 0, C3p = 0, C4p = 0, C5p = 0, C6p = 0, C7p = 0, C8p = 0, C9p = 0, C10p = 0, C11p = 0, C12p = 0, C13p = 0, C14p = 0, C15p = 0, 
//           C1n = 0.0001, C2n = 0, C3n = 0, C4n = 0, C5n = 0, C6n = 0, C7n = 0, C8n = 0, C9n = 0, C10n = 0, C11n = 0, C12n = 0, C13n = 0, C14n = 0, C15n = 0, 
//Astrophysical parameters: rho = 0.3 GeV/cm^3, v0 = 220 km/s, vesc = 544 km/s
//Er(keV)         WIMP-rate         Bg-rate           total-rate (/keV/t/year)
7.92100000e+01    3.69145224e-03    5.09502680e-06    3.69654727e-03
8.02000000e+01    3.18349288e-03    4.29007879e-06    3.18778296e-03
8.11900000e+01    2.73369503e-03    3.57733059e-06    2.73727236e-03
8.21800000e+01    2.33650700e-03    2.94770750e-06    2.33945471e-03
8.31700000e+01    1.98683839e-03    2.39569503e-06    1.98923408e-03
8.41600000e+01    1.68002573e-03    1.91522045e-06    1.68194095e-03
8.51500000e+01    1.41180053e-03    1.50162277e-06    1.41330215e-03
8.61400000e+01    1.17825938e-03    1.14836906e-06    1.17940775e-03
8.71300000e+01    9.75836223e-04    8.52094954e-07    9.76688318e-04
8.81200000e+01    8.01276458e-04    6.07390034e-07    8.01883848e-04
8.91100000e+01    6.51612887e-04    4.10068232e-07    6.52022955e-04
9.01000000e+01    5.24143322e-04    2.56057181e-07    5.24399379e-04
9.10900000e+01    4.16409776e-04    1.41455844e-07    4.16551232e-04
9.20800000e+01    3.26179123e-04    6.28182115e-08    3.26241942e-04
9.30700000e+01    2.51425143e-04    1.67635639e-08    2.51441907e-04
9.40600000e+01    1.90311846e-04    1.80647349e-10    1.90312026e-04
9.50500000e+01    1.41178008e-04    1.01607848e-08    1.41188169e-04
9.60400000e+01    1.02522835e-04    4.39831043e-08    1.02566818e-04
9.70300000e+01    7.29926660e-05    9.91072327e-08    7.30917733e-05
9.80200000e+01    5.13686691e-05    1.73190793e-07    5.15418598e-05
9.90100000e+01    3.65554463e-05    2.64061115e-07    3.68195074e-05
